,0,1,2,3,4,5,6,7,8,9,11,12,13,14,15
126,127,MCHL,296.80,291.10,296.80,275.00,"36,220","10,284,471.6",321,296.80(-0.2) ,297.00,283.94,308.00,165.20,"1,610.39"
127,128,MDB,404.00,409.00,419.90,401.00,"20,915","8,488,960",86,404.00(-13) ,417.00,405.88,441.00,350.30,"4,490.16"
128,129,MEHL,253.50,261.00,261.00,252.00,"31,728","8,137,171",651,253.50(-12.4) ,265.90,256.47,279.00,175.00,"2,028.00"
129,130,MEL,204.00,216.20,216.20,202.00,"102,576","21,178,075.6","1,421",204.00(-8) ,212.00,206.46,275.40,149.00,"5,916.00"
130,131,MEN,614.00,589.60,626.00,565.00,"212,787","127,988,211","1,032",614.00(35.9) ,578.10,601.49,"1,092.00",429.90,"12,083.69"
131,132,MERO,612.00,617.40,628.00,606.30,"21,906","13,411,238.6",170,612.00(-18) ,630.00,612.22,945.00,463.30,"8,078.40"
132,133,MFIL,555.10,558.00,569.00,546.70,"77,231","43,102,608.2",316,555.10(-13.9) ,569.00,558.10,587.00,367.10,"7,502.47"
133,134,MFLD85,959.80,940.00,959.80,940.00,77,"73,289.6",4,959.80(18.8) ,941.00,951.81,"1,015.00",805.10,-
134,135,MHCL,381.70,374.30,381.70,333.20,"114,985","40,885,492.4",918,374.00(7) ,367.00,355.57,386.50,141.00,"3,063.14"
135,136,MHL,418.00,411.00,418.00,380.00,"49,201","19,460,819.6",316,418.00(3) ,415.00,395.54,418.10,242.10,"2,457.99"
136,137,MHNL,238.40,235.00,249.00,231.00,"37,499","8,815,700.8",154,238.40(-1.3) ,239.70,235.09,356.90,169.00,"2,980.00"
137,138,MKCL,316.30,288.10,316.30,288.10,"1,630","514,277.5",167,316.30(28.7) ,287.60,315.51,316.30,178.80,"2,214.10"
138,139,MKHC,243.00,248.00,254.00,238.10,"24,160","5,861,006.3",342,243.00(-8.9) ,251.90,242.59,367.50,174.40,"2,430.00"
139,140,MKHL,297.00,295.00,307.00,291.00,"35,110","10,505,453.5",331,297.00(-4) ,301.00,299.22,335.00,224.00,"1,164.71"
140,141,MKJC,376.00,382.00,382.60,375.10,"4,526","1,717,385.6",69,376.00(-4.3) ,380.30,379.45,554.00,293.20,"1,384.22"
141,142,MKLB,678.00,650.00,689.00,637.00,"2,926","1,939,863.8",57,678.00(26.1) ,651.90,662.97,"1,050.00",526.20,"1,006.68"
142,143,MLBBL,849.00,880.00,880.00,814.00,"3,142","2,682,136.6",43,849.00(-16) ,865.00,853.64,"1,249.00",657.00,"1,664.06"
143,144,MLBL,341.00,344.00,347.00,335.00,"88,332","30,037,528.4",366,341.00(-10) ,351.00,340.05,388.90,281.00,"14,224.20"
144,145,MLBS,750.20,774.20,774.20,750.00,411,"313,221.6",22,750.20(-39.8) ,790.00,762.10,"1,256.00",570.10,820.53
145,146,MLBSL,"1,900.00","1,974.70","2,014.10","1,864.00",964,"1,828,691",40,"1,900.00(-36) ","1,936.00","1,896.98","4,329.60","1,535.00","4,133.69"
146,147,MMF1,7.98,8.00,8.00,7.44,"44,540","342,107.9",67,7.98(0.04) ,7.94,7.68,8.65,6.65,997.50
147,148,MMFDB,615.00,635.00,641.00,615.00,"4,831","3,018,430.9",99,615.00(-21.1) ,636.10,624.80,"1,026.00",481.30,"4,094.45"
148,149,MMKJL,328.00,320.00,339.00,311.80,"30,996","9,950,535.9",728,328.00(10) ,318.00,321.03,350.00,225.00,"3,280.00"
149,150,MNBBL,405.90,415.00,425.00,405.80,"85,125","35,219,397.5",418,405.90(-11) ,416.90,413.74,480.00,368.10,"26,062.43"
150,151,MPFL,329.00,345.00,345.00,329.00,"30,426","10,205,178.4",190,329.00(-15) ,344.00,335.41,430.00,261.00,"2,007.56"
151,152,MSHL,587.00,547.90,590.90,545.00,"34,980","20,010,191.8",507,587.00(49.8) ,537.20,572.05,590.90,294.20,"4,393.11"
152,153,MSLB,877.00,877.00,894.00,834.00,957,"822,972.8",18,877.00(0) ,877.00,859.95,"1,280.00",658.60,"2,827.26"
153,154,NABBC,382.00,402.00,402.00,382.00,"5,074","1,980,055",49,382.00(-14.7) ,396.70,390.24,500.00,342.10,"1,002.63"
154,155,NABIL,523.00,520.00,525.00,520.00,"91,036","47,621,680.7",869,523.00(3) ,520.00,523.11,865.00,493.00,"141,508.10"
155,156,NADEP,543.90,573.00,573.00,543.90,"6,187","3,407,609",109,543.90(-29.9) ,573.80,550.77,835.00,455.00,"2,642.05"
156,157,NBF2,8.37,8.38,8.54,8.37,"5,500","46,119",7,8.37(-0.17) ,8.54,8.39,9.55,7.03,937.44
157,158,NBF3,7.58,7.99,7.99,7.44,"125,973","961,506.55",48,7.58(-0.36) ,7.94,7.63,8.25,6.74,947.50
158,159,NBL,245.70,255.00,255.00,245.00,"148,662","36,793,090.7",635,245.70(-9.3) ,255.00,247.49,307.00,231.20,"36,103.21"
159,160,NESDO,"1,712.00","1,790.00","1,799.00","1,701.00","2,075","3,607,090.9",73,"1,712.00(-70) ","1,782.00","1,738.36","3,540.00","1,418.00","4,365.60"
160,161,NFS,324.00,330.00,334.00,322.10,"28,380","9,288,005.9",154,324.00(-9) ,333.00,327.27,390.00,240.70,"2,718.18"
161,162,NGPL,227.00,239.70,242.00,225.50,"147,891","34,053,048.4",441,227.00(-8) ,235.00,230.26,340.00,185.80,"4,202.40"
162,163,NHDL,382.00,395.00,402.00,378.30,"48,424","18,744,211.7",105,382.00(-13) ,395.00,387.09,431.00,301.60,"1,373.07"
163,164,NHPC,165.00,171.50,172.50,165.00,"215,285","36,022,376",815,165.00(-4.5) ,169.50,167.32,286.20,126.00,"4,069.62"
164,165,NIBD2082,"1,030.00","1,024.70","1,030.00","1,024.70",120,"123,494",2,"1,030.00(10) ","1,020.00","1,029.12","1,044.00",890.10,-
165,166,NIBD84,877.00,860.00,877.00,860.00,35,"30,270",2,877.00(17) ,860.00,864.86,877.00,753.40,-
166,167,NIBLGF,8.16,8.06,8.29,8.00,"35,466","288,896.66",23,8.16(0.02) ,8.14,8.15,10.64,7.19,"1,077.12"
167,168,NIBLPF,9.16,9.12,9.34,9.12,"16,809","154,138",8,9.16(0.02) ,9.14,9.17,10.13,7.82,687.00
168,169,NIBSF2,7.52,7.70,7.85,7.45,"22,850","175,145",38,7.52(-0.18) ,7.70,7.66,9.49,6.60,"1,128.00"
169,170,NICA,532.00,545.00,555.00,530.00,"96,029","51,611,930.1",621,532.00(-13) ,545.00,537.46,861.90,490.10,"79,361.46"
170,171,NICAD8283,"1,057.00","1,040.00","1,057.00","1,040.00",180,"188,350",4,"1,057.00(0) ","1,057.00","1,046.39","1,170.00",927.50,-
171,172,NICBF,8.50,8.59,8.60,8.50,"55,060","471,708.8",6,8.50(-0.25) ,8.75,8.57,10.31,7.99,641.75
172,173,NICFC,8.68,8.52,8.83,8.52,"48,230","422,573.8",46,8.68(0.01) ,8.67,8.76,10.17,7.45,88.54
173,174,NICGF,9.00,9.55,9.55,9.00,"55,260","521,660.8",15,9.00(-0.55) ,9.55,9.44,10.62,8.30,751.68
174,175,NICL,893.50,868.90,902.00,855.00,"96,557","84,843,619.4",442,893.50(23.5) ,870.00,878.69,907.00,395.70,"14,691.30"
175,176,NICLBSL,649.00,660.00,660.00,636.10,"13,513","8,703,623.2",219,649.00(-15) ,664.00,644.09,878.00,516.00,"11,288.97"
176,177,NICSF,8.90,9.00,9.02,8.87,"9,073","80,832",20,8.90(-0.15) ,9.05,8.91,9.49,7.40,"1,112.50"
177,178,NIFRA,224.00,234.60,237.20,222.60,"284,213","65,002,684.4","1,687",224.00(-10.6) ,234.60,228.71,261.00,178.00,"48,384.00"
178,179,NIL,858.00,872.00,876.00,855.00,"16,482","14,245,637.2",150,858.00(-18) ,876.00,864.31,946.00,700.00,"17,266.05"
179,180,NIMB,184.00,185.20,189.00,184.00,"100,795","18,742,250.9",420,184.00(-4.3) ,188.30,185.94,265.00,168.00,"62,796.61"
180,181,NIMBPO,152.00,155.00,155.00,148.00,"17,951","2,708,040",30,152.00(-1) ,153.00,150.86,242.00,105.00,"27,827.46"
181,182,NLBBL,620.00,650.00,668.00,620.00,"3,866","2,451,230.8",74,620.00(-40) ,660.00,634.05,"1,060.80",480.00,"4,538.40"
182,183,NLG,854.00,866.10,870.00,848.80,"18,706","16,011,295.1",114,854.00(-20) ,874.00,855.94,940.00,464.00,"12,462.22"
183,184,NLIC,707.00,732.90,732.90,703.00,"70,475","50,158,896.7",556,707.00(-11.6) ,718.60,711.73,820.00,602.00,"58,030.32"
